condition,tier,AR,AP,AP50,AP75,APm,APl
drop_0.25,quadrant,0.255 ± 0.004,2.63 ± 0.07,9.61 ± 0.61,0.59 ± 0.10,n/a,2.71 ± 0.09
drop_0.25,enumeration,0.162 ± 0.004,1.80 ± 0.00,6.46 ± 0.29,0.45 ± 0.04,n/a,1.91 ± 0.04
drop_0.25,diagnosis,0.266 ± 0.002,4.88 ± 0.04,17.68 ± 0.76,1.17 ± 0.11,n/a,5.19 ± 0.19
drop_0.50,quadrant,0.255 ± 0.004,2.63 ± 0.07,9.61 ± 0.61,0.59 ± 0.10,n/a,2.71 ± 0.09
drop_0.50,enumeration,0.162 ± 0.004,1.80 ± 0.00,6.46 ± 0.29,0.45 ± 0.04,n/a,1.91 ± 0.04
drop_0.50,diagnosis,0.266 ± 0.002,4.88 ± 0.04,17.68 ± 0.76,1.17 ± 0.11,n/a,5.19 ± 0.19
jitter_0.00,quadrant,0.255 ± 0.004,2.63 ± 0.07,9.61 ± 0.61,0.59 ± 0.10,n/a,2.71 ± 0.09
jitter_0.00,enumeration,0.162 ± 0.004,1.80 ± 0.00,6.46 ± 0.29,0.45 ± 0.04,n/a,1.91 ± 0.04
jitter_0.00,diagnosis,0.266 ± 0.002,4.88 ± 0.04,17.68 ± 0.76,1.17 ± 0.11,n/a,5.19 ± 0.19
jitter_0.05,quadrant,0.255 ± 0.004,2.63 ± 0.07,9.61 ± 0.61,0.59 ± 0.10,n/a,2.71 ± 0.09
jitter_0.05,enumeration,0.162 ± 0.004,1.80 ± 0.00,6.46 ± 0.29,0.45 ± 0.04,n/a,1.91 ± 0.04
jitter_0.05,diagnosis,0.266 ± 0.002,4.88 ± 0.04,17.68 ± 0.76,1.17 ± 0.11,n/a,5.19 ± 0.19
jitter_0.10,quadrant,0.255 ± 0.004,2.63 ± 0.07,9.61 ± 0.61,0.59 ± 0.10,n/a,2.71 ± 0.09
jitter_0.10,enumeration,0.162 ± 0.004,1.80 ± 0.00,6.46 ± 0.29,0.45 ± 0.04,n/a,1.91 ± 0.04
jitter_0.10,diagnosis,0.266 ± 0.002,4.88 ± 0.04,17.68 ± 0.76,1.17 ± 0.11,n/a,5.19 ± 0.19
jitter_0.20,quadrant,0.255 ± 0.004,2.63 ± 0.07,9.61 ± 0.61,0.59 ± 0.10,n/a,2.71 ± 0.09
jitter_0.20,enumeration,0.162 ± 0.004,1.80 ± 0.00,6.46 ± 0.29,0.45 ± 0.04,n/a,1.91 ± 0.04
jitter_0.20,diagnosis,0.266 ± 0.002,4.88 ± 0.04,17.68 ± 0.76,1.17 ± 0.11,n/a,5.19 ± 0.19
