tier,method,AR,AP,AP50,AP75,APm,APl,seeds
quadrant,Ours_full,0.257 ± 0.004,2.65 ± 0.07,9.74 ± 0.49,0.55 ± 0.09,n/a,2.72 ± 0.07,3
quadrant,Ours_wo_Manipulation,0.193 ± 0.004,1.30 ± 0.02,5.15 ± 0.19,0.21 ± 0.03,n/a,1.33 ± 0.02,3
quadrant,Ours_wo_Transfer,0.000 ± 0.000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,n/a,0.00 ± 0.00,3
quadrant,Stage_enumeration,0.044 ± 0.002,0.04 ± 0.00,0.22 ± 0.01,0.00 ± 0.00,n/a,0.04 ± 0.00,3
quadrant,Stage_quadrant,0.000 ± 0.000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,n/a,0.00 ± 0.00,3
enumeration,Ours_full,0.162 ± 0.003,1.83 ± 0.05,6.57 ± 0.29,0.39 ± 0.10,n/a,1.92 ± 0.04,3
enumeration,Ours_wo_Manipulation,0.151 ± 0.004,1.37 ± 0.02,5.31 ± 0.19,0.23 ± 0.05,n/a,1.40 ± 0.02,3
enumeration,Ours_wo_Transfer,0.000 ± 0.000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,n/a,0.00 ± 0.00,3
enumeration,Stage_enumeration,0.042 ± 0.001,0.03 ± 0.01,0.15 ± 0.01,0.01 ± 0.01,n/a,0.03 ± 0.01,3
enumeration,Stage_quadrant,0.000 ± 0.000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,n/a,0.00 ± 0.00,3
diagnosis,Ours_full,0.266 ± 0.002,4.97 ± 0.16,18.09 ± 0.89,1.02 ± 0.26,n/a,5.23 ± 0.16,3
diagnosis,Ours_wo_Manipulation,0.226 ± 0.011,2.78 ± 0.27,11.44 ± 0.46,0.46 ± 0.20,n/a,2.82 ± 0.29,3
diagnosis,Ours_wo_Transfer,0.000 ± 0.000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,n/a,0.00 ± 0.00,3
diagnosis,Stage_enumeration,0.010 ± 0.001,0.00 ± 0.00,0.01 ± 0.00,0.00 ± 0.00,n/a,0.00 ± 0.00,3
diagnosis,Stage_quadrant,0.000 ± 0.000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,n/a,0.00 ± 0.00,3
