method,tier,metric,n_seeds,mean,std,min,max,values
Ours_full,quadrant,AR,3,0.257,0.004,0.253,0.261,0.253;0.257;0.261
Ours_full,quadrant,AP,3,2.654,0.065,2.580,2.704,2.580;2.677;2.704
Ours_full,quadrant,AP50,3,9.742,0.490,9.176,10.04,9.176;10.044;10.005
Ours_full,quadrant,AP75,3,0.552,0.091,0.481,0.655,0.655;0.519;0.481
Ours_full,quadrant,APm,0,n/a,n/a,n/a,n/a,
Ours_full,quadrant,APl,3,2.724,0.067,2.647,2.768,2.647;2.768;2.758
Ours_full,enumeration,AR,3,0.162,0.003,0.159,0.164,0.164;0.159;0.163
Ours_full,enumeration,AP,3,1.829,0.046,1.800,1.882,1.800;1.804;1.882
Ours_full,enumeration,AP50,3,6.572,0.288,6.250,6.804,6.660;6.250;6.804
Ours_full,enumeration,AP75,3,0.394,0.096,0.288,0.474,0.421;0.474;0.288
Ours_full,enumeration,APm,0,n/a,n/a,n/a,n/a,
Ours_full,enumeration,APl,3,1.919,0.035,1.879,1.945,1.879;1.934;1.945
Ours_full,diagnosis,AR,3,0.266,0.002,0.264,0.268,0.265;0.268;0.264
Ours_full,diagnosis,AP,3,4.970,0.160,4.849,5.151,4.849;4.908;5.151
Ours_full,diagnosis,AP50,3,18.09,0.891,17.15,18.92,18.213;17.145;18.916
Ours_full,diagnosis,AP75,3,1.022,0.260,0.734,1.240,1.091;1.240;0.734
Ours_full,diagnosis,APm,0,n/a,n/a,n/a,n/a,
Ours_full,diagnosis,APl,3,5.234,0.155,5.055,5.327,5.055;5.327;5.319
Ours_wo_Manipulation,quadrant,AR,3,0.193,0.004,0.188,0.196,0.188;0.196;0.195
Ours_wo_Manipulation,quadrant,AP,3,1.303,0.018,1.292,1.324,1.294;1.324;1.292
Ours_wo_Manipulation,quadrant,AP50,3,5.150,0.186,4.941,5.298,5.298;5.211;4.941
Ours_wo_Manipulation,quadrant,AP75,3,0.211,0.026,0.181,0.230,0.181;0.230;0.221
Ours_wo_Manipulation,quadrant,APm,0,n/a,n/a,n/a,n/a,
Ours_wo_Manipulation,quadrant,APl,3,1.331,0.023,1.316,1.357,1.316;1.357;1.321
Ours_wo_Manipulation,enumeration,AR,3,0.151,0.004,0.148,0.155,0.150;0.155;0.148
Ours_wo_Manipulation,enumeration,AP,3,1.375,0.020,1.359,1.397,1.397;1.368;1.359
Ours_wo_Manipulation,enumeration,AP50,3,5.311,0.187,5.197,5.526,5.526;5.208;5.197
Ours_wo_Manipulation,enumeration,AP75,3,0.231,0.052,0.198,0.291,0.291;0.198;0.204
Ours_wo_Manipulation,enumeration,APm,0,n/a,n/a,n/a,n/a,
Ours_wo_Manipulation,enumeration,APl,3,1.396,0.018,1.380,1.416,1.416;1.393;1.380
Ours_wo_Manipulation,diagnosis,AR,3,0.226,0.011,0.214,0.236,0.214;0.236;0.228
Ours_wo_Manipulation,diagnosis,AP,3,2.780,0.275,2.525,3.071,2.525;3.071;2.744
